"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789912068688064550","Mon May 13 06:54:26 +0000 2024","0","adem banget liat sepuh nurunin cuan walaupun di luar panas Link join di bawah ini https://t.co/3sJkWOV2p2 #stasiunplay #slotgacorindonesia #u23 #timnasindonesia #viral #fyp #lambeturah #artisviral https://t.co/HNhQBT1Hjp","1789912068688064550","https://pbs.twimg.com/ext_tw_video_thumb/1789911875007995904/pu/img/b3w2JqAieluJGCv4.jpg","","in","INDONESIA","0","0","4","https://twitter.com/stasiunplay88/status/1789912068688064550","1518529392645128192","stasiunplay88"
"1789910463838409071","Mon May 13 06:48:04 +0000 2024","81","Jalan pintas ini akan terus dipakai. Terbukti kan kemarin piala asia u23 semua juga bahagia. Bung Towel jadi musuh bersama.","1789910463838409071","","","in","Cipayung, Indonesia","1","9","25","https://twitter.com/NOTASLIMBOY/status/1789910463838409071","19190361","NOTASLIMBOY"
"1789829832332751259","Mon May 13 06:19:11 +0000 2024","0","@thvblast Jokowi predeksi timnas u23","1789903197374497174","","thvblast","in","","0","0","0","https://twitter.com/RadjoBoengsoe/status/1789903197374497174","38143860","RadjoBoengsoe"
"1789639396461010944","Mon May 13 06:13:54 +0000 2024","0","@andrariez @garagarabola_ Lu sangka AFC U23 masuk kalender FIFA? Lu kira piala dunia U20 masuk kalender FIFA? bolak balik ngeles malah bolak balik gw gamparin opini lu.","1789901866333032754","","andrariez","in","sumatera-jakarta","0","1","0","https://twitter.com/BudiNafa/status/1789901866333032754","3138318758","BudiNafa"
"1789897779541651785","Mon May 13 05:57:39 +0000 2024","0","LOKER ROOM TIMNAS INDONESIA U23........ pedih https://t.co/ILzRfee9CB","1789897779541651785","https://pbs.twimg.com/ext_tw_video_thumb/1789897565292666880/pu/img/RbkjCcDGu4mFinvf.jpg","","in","Padang","0","0","0","https://twitter.com/CelahSumbar/status/1789897779541651785","1655524487646048256","CelahSumbar"
"1789894513416176069","Mon May 13 05:44:41 +0000 2024","0","kalo disuruh milih timnas u23 sambil merem mah jg tetep ak tunjukin semua anjirr ganteng2 bgggt","1789894513416176069","","","in","","0","0","0","https://twitter.com/iondyy/status/1789894513416176069","1187221688473145344","iondyy"
"1789861264925376782","Mon May 13 05:31:00 +0000 2024","1","@ariefinfm @utdabout Emyu lawan timnas u23 jika bakal kalah kecuali wasitnya mihak emyu","1789891072841130191","","ariefinfm","in","kandolo","0","1","0","https://twitter.com/Danxixie23/status/1789891072841130191","1518691655477755904","Danxixie23"
"1789639396461010944","Mon May 13 05:24:17 +0000 2024","0","@BudiNafa @garagarabola_ Terlepas dari itu. Tim muda thailand mengalami regresi generasi. Tim thailand sea games 2023 dan piala asia aff u23 adalah tim thailand paling busuk yang pernah saya tonton","1789889378644291885","","BudiNafa","in","","0","1","0","https://twitter.com/alvinsyarif8/status/1789889378644291885","1350782712999682050","alvinsyarif8"
"1789882361758220739","Mon May 13 04:56:24 +0000 2024","0","Viral di media sosial momen pilu Shin Tae-yong saat dan dipeluk pemain-pemain Timnas Indonesia u23 di ruang ganti usai menelan kekalahan di Laga Indonesia U23 vs Guinea. Video itu diunggah oleh dokter Alfan Asyhar yang merupakan dokter timnas. https://t.co/WJYmvJKN65","1789882361758220739","https://pbs.twimg.com/ext_tw_video_thumb/1789880305740066816/pu/img/uyKC8f-Z6sV2NpaA.jpg","","in","Solo, Central Java, Indonesia","0","0","0","https://twitter.com/soloposdotcom/status/1789882361758220739","155169715","soloposdotcom"
"1789878807819673909","Mon May 13 04:42:16 +0000 2024","0","Ya pantes aja ga timnas putri ga timnas U23 orientasinya cuma hasil. Cuman getol cari pemain diaspora tapi ga mau perbaiki sepakbola Indonesia secara keseluruhan. B.E.D.A indeed","1789878807819673909","","","in","Bandung, Jawa Barat","0","0","0","https://twitter.com/Abelchenko/status/1789878807819673909","122659828","Abelchenko"
